# Latitude, Longitude, Depth (km), Magnitude, NP1 Strike, NP1 Dip, NP1 rake, NP2 Strike, NP2 Dip, NP2 Rake
3.607500000000000284e+01,-1.176500000000000057e+02,-2.000000000000000042e-02,5.299999999999999822e+00,2.440000000000000000e+02,7.100000000000000000e+01,-3.000000000000000000e+00,3.350000000000000000e+02,8.800000000000000000e+01,-1.610000000000000000e+02
4.027366669999999971e+01,-1.243791666999999990e+02,2.300700000000000145e+01,5.599999999999999645e+00,9.700000000000000000e+01,6.600000000000000000e+01,1.680000000000000000e+02,1.920000000000000000e+02,7.900000000000000000e+01,2.400000000000000000e+01
3.497099999999999653e+01,-1.168190000000000026e+02,6.209999999999999964e-01,5.259999999999999787e+00,nan,nan,nan,nan,nan,nan
3.436899999999999977e+01,-1.186700000000000017e+02,1.589199999999999946e+01,5.070000000000000284e+00,nan,nan,nan,nan,nan,nan
3.606700000000000017e+01,-1.176380000000000052e+02,3.340000000000000191e-01,5.230000000000000426e+00,3.310000000000000000e+02,5.300000000000000000e+01,-1.570000000000000000e+02,2.270000000000000000e+02,7.200000000000000000e+01,-3.900000000000000000e+01
3.675450000000000017e+01,-1.214615000000000009e+02,8.821999999999999176e+00,5.099999999999999645e+00,4.800000000000000000e+01,8.500000000000000000e+01,-1.000000000000000000e+00,1.380000000000000000e+02,8.900000000000000000e+01,-1.750000000000000000e+02
4.062616669999999885e+01,-1.224140000000000015e+02,2.458999999999999986e+01,5.099999999999999645e+00,2.880000000000000000e+02,2.500000000000000000e+01,-1.760000000000000000e+02,1.940000000000000000e+02,8.800000000000000000e+01,-6.500000000000000000e+01
3.752966669999999993e+01,-1.188171667000000014e+02,2.934000000000000163e+00,5.500000000000000000e+00,2.910000000000000000e+02,6.400000000000000000e+01,-1.750000000000000000e+02,1.990000000000000000e+02,8.500000000000000000e+01,-2.600000000000000000e+01
4.707399999999999807e+01,-1.234636667000000045e+02,4.001400000000000290e+01,5.799999999999999822e+00,1.990000000000000000e+02,3.400000000000000000e+01,-6.100000000000000000e+01,3.450000000000000000e+02,6.100000000000000000e+01,-1.080000000000000000e+02
3.753000000000000114e+01,-1.169680000000000035e+02,6.036999999999999922e+00,5.940000000000000391e+00,7.100000000000000000e+01,4.600000000000000000e+01,-5.200000000000000000e+01,2.030000000000000000e+02,5.500000000000000000e+01,-1.230000000000000000e+02
4.478499999999999659e+01,-1.127879999999999967e+02,1.600000000000000000e+01,5.099999999999999645e+00,nan,nan,nan,nan,nan,nan
3.460333330000000274e+01,-1.162650000000000006e+02,1.373000000000000043e+01,7.099999999999999645e+00,3.360000000000000000e+02,8.000000000000000000e+01,1.740000000000000000e+02,6.700000000000000000e+01,8.500000000000000000e+01,1.000000000000000000e+01
3.424000000000000199e+01,-1.170400000000000063e+02,6.000000000000000000e+00,5.599999999999999645e+00,nan,nan,nan,nan,nan,nan
4.714900000000000091e+01,-1.227266666999999956e+02,5.179800000000000182e+01,6.799999999999999822e+00,1.760000000000000000e+02,1.700000000000000000e+01,-9.600000000000000000e+01,2.000000000000000000e+00,7.300000000000000000e+01,-8.800000000000000000e+01
4.292499999999999716e+01,-1.113949999999999960e+02,8.000000000000000444e-01,5.299999999999999822e+00,1.100000000000000000e+01,4.300000000000000000e+01,-7.700000000000000000e+01,1.730000000000000000e+02,4.800000000000000000e+01,-1.020000000000000000e+02
3.601633329999999944e+01,-1.178743333000000035e+02,1.864000000000000101e+00,5.169999999999999929e+00,3.520000000000000000e+02,8.300000000000000000e+01,1.710000000000000000e+02,8.300000000000000000e+01,8.100000000000000000e+01,7.000000000000000000e+00
3.981116670000000113e+01,-1.206166666999999961e+02,5.011000000000000121e+00,5.200000000000000178e+00,2.390000000000000000e+02,8.400000000000000000e+01,-5.000000000000000000e+00,3.300000000000000000e+02,8.500000000000000000e+01,-1.740000000000000000e+02
3.350833329999999677e+01,-1.165143333000000041e+02,1.367800000000000082e+01,5.019999999999999574e+00,nan,nan,nan,nan,nan,nan
